epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,14872.3,1.20656,0.60569,0.99049,0.8839,0.6407,0.70631,0.34231,1.91447,1.76334,1.10686,0.000759865,0.000759865,0.000759865
49,15181.4,1.19385,0.60488,0.98847,0.88629,0.64198,0.70819,0.34443,1.91587,1.76526,1.10628,0.000754968,0.000754968,0.000754968
50,15490.3,1.1821,0.5943,0.98081,0.88916,0.64052,0.70707,0.34437,1.91939,1.76998,1.10644,0.000750072,0.000750072,0.000750072
51,15798.5,1.18589,0.60488,0.97925,0.88747,0.64198,0.70735,0.34466,1.92144,1.77678,1.10856,0.000745175,0.000745175,0.000745175
52,16107.3,1.192,0.59473,0.98654,0.89007,0.64392,0.70736,0.34451,1.92404,1.77748,1.111,0.000740279,0.000740279,0.000740279
53,16415.8,1.18356,0.59065,0.98217,0.89058,0.63938,0.70668,0.34413,1.93103,1.7799,1.11396,0.000735382,0.000735382,0.000735382
54,16724.2,1.18856,0.59126,0.97816,0.89285,0.6385,0.70742,0.3443,1.93145,1.779,1.11545,0.000730486,0.000730486,0.000730486
55,17032.9,1.16651,0.57632,0.97445,0.89277,0.63798,0.70723,0.34483,1.93231,1.78726,1.11616,0.00072559,0.00072559,0.00072559
56,17343.3,1.16788,0.58694,0.97563,0.89473,0.63748,0.70838,0.34606,1.93179,1.79051,1.11643,0.000720693,0.000720693,0.000720693
57,17652.4,1.16261,0.5836,0.97685,0.89613,0.63886,0.7088,0.34554,1.9302,1.78711,1.11606,0.000715797,0.000715797,0.000715797
58,17960.9,1.15726,0.57598,0.98045,0.89695,0.63812,0.7098,0.34579,1.93449,1.78558,1.1175,0.0007109,0.0007109,0.0007109
59,18269.3,1.13991,0.56668,0.9708,0.89658,0.6364,0.70833,0.34715,1.93402,1.77914,1.1174,0.000706004,0.000706004,0.000706004
60,18578.2,1.13968,0.57347,0.97113,0.89536,0.63426,0.7079,0.34813,1.93773,1.77564,1.11935,0.000701107,0.000701107,0.000701107
61,18887.4,1.13865,0.56708,0.96907,0.89392,0.63361,0.70772,0.3493,1.93906,1.77458,1.1215,0.000696211,0.000696211,0.000696211
62,19196.2,1.13297,0.56409,0.97514,0.89471,0.63168,0.70813,0.34934,1.94018,1.78091,1.12202,0.000691314,0.000691314,0.000691314
63,19505,1.14063,0.55959,0.97204,0.89246,0.63058,0.70744,0.34955,1.93979,1.78243,1.12178,0.000686418,0.000686418,0.000686418
64,19813.9,1.12669,0.56504,0.96841,0.8954,0.62836,0.70819,0.35015,1.94161,1.79148,1.1249,0.000681521,0.000681521,0.000681521
65,20122.7,1.12902,0.55779,0.96186,0.89948,0.62717,0.70895,0.35121,1.94134,1.80232,1.12491,0.000676625,0.000676625,0.000676625
66,20431.4,1.11089,0.55218,0.95743,0.89774,0.62717,0.70956,0.35322,1.93735,1.80981,1.12518,0.000671728,0.000671728,0.000671728
67,20739.9,1.11294,0.54921,0.96108,0.89736,0.62589,0.71062,0.3537,1.93569,1.82962,1.12581,0.000666832,0.000666832,0.000666832
68,21048.6,1.10245,0.54973,0.95525,0.90216,0.62202,0.71141,0.35592,1.93661,1.84422,1.12718,0.000661935,0.000661935,0.000661935
69,21357.1,1.11759,0.55648,0.96729,0.89944,0.62202,0.71174,0.35798,1.93383,1.85979,1.12658,0.000657039,0.000657039,0.000657039
70,21665.6,1.10387,0.5399,0.95243,0.90304,0.62073,0.71354,0.35934,1.93057,1.8773,1.12603,0.000652142,0.000652142,0.000652142
71,21973.8,1.11679,0.55366,0.96234,0.90871,0.61687,0.71506,0.36027,1.93222,1.89355,1.12674,0.000647246,0.000647246,0.000647246
72,22282.2,1.09127,0.53989,0.94868,0.91431,0.61687,0.71714,0.36143,1.93124,1.91214,1.12715,0.000642349,0.000642349,0.000642349
73,22590.7,1.10298,0.54124,0.95959,0.91906,0.61429,0.71827,0.36331,1.92688,1.92615,1.1247,0.000637453,0.000637453,0.000637453
74,22899.1,1.0856,0.53322,0.95107,0.92051,0.61147,0.71928,0.36539,1.92752,1.95499,1.12434,0.000632556,0.000632556,0.000632556
75,23207.5,1.08605,0.5362,0.95387,0.92536,0.60464,0.72025,0.36706,1.92584,1.98223,1.12507,0.00062766,0.00062766,0.00062766
76,23515.6,1.08086,0.53293,0.95165,0.9318,0.60077,0.72362,0.36963,1.92334,2.01209,1.12367,0.000622763,0.000622763,0.000622763
77,23823.6,1.07063,0.53973,0.94745,0.93331,0.5948,0.72582,0.37276,1.91221,2.02965,1.11785,0.000617867,0.000617867,0.000617867
78,24131.3,1.08732,0.53561,0.94977,0.93717,0.58918,0.72762,0.37589,1.92228,2.05451,1.11409,0.00061297,0.00061297,0.00061297
79,24439,1.07036,0.52986,0.94467,0.94766,0.58288,0.73041,0.37799,1.92199,2.08473,1.11357,0.000608074,0.000608074,0.000608074
80,24746.7,1.06067,0.52203,0.95316,0.95376,0.57437,0.73428,0.38235,1.90891,2.11015,1.10735,0.000603177,0.000603177,0.000603177
81,25054.6,1.05794,0.52295,0.94008,0.95943,0.56337,0.73774,0.38615,1.89669,2.1139,1.10406,0.000598281,0.000598281,0.000598281
82,25362.3,1.05443,0.52123,0.93846,0.95992,0.55055,0.74046,0.39006,1.893,2.16233,1.10181,0.000593384,0.000593384,0.000593384
83,25669.6,1.03899,0.5055,0.93429,0.96338,0.54201,0.74391,0.39398,1.86675,2.15106,1.09325,0.000588488,0.000588488,0.000588488
84,25977.3,1.04283,0.51272,0.93736,0.96535,0.53813,0.7495,0.39849,1.8618,2.1904,1.09189,0.000583591,0.000583591,0.000583591
85,26284.9,1.04081,0.51193,0.93613,0.95157,0.56933,0.75282,0.40239,1.85621,2.22677,1.09141,0.000578695,0.000578695,0.000578695
86,26592.1,1.03922,0.51366,0.93967,0.71734,0.64713,0.75707,0.40723,1.85454,2.27472,1.09064,0.000573798,0.000573798,0.000573798
87,26899.4,1.032,0.51,0.93759,0.76385,0.63941,0.762,0.41197,1.85848,2.3306,1.09238,0.000568902,0.000568902,0.000568902
88,27206.7,1.02821,0.50635,0.93136,0.80627,0.62975,0.7651,0.41791,1.84622,2.38533,1.08918,0.000564005,0.000564005,0.000564005
89,27514,1.02983,0.5098,0.92873,0.83902,0.61751,0.76567,0.4218,1.81521,2.40301,1.07557,0.000559109,0.000559109,0.000559109
90,27821.4,1.032,0.50464,0.93315,0.8735,0.60914,0.76865,0.42546,1.81221,2.47402,1.0734,0.000554212,0.000554212,0.000554212
91,28128.4,1.02802,0.50616,0.93703,0.89665,0.60335,0.77056,0.42884,1.80706,2.55841,1.07247,0.000549316,0.000549316,0.000549316
92,28435.5,1.00948,0.49716,0.92517,0.91984,0.59111,0.7695,0.42994,1.81194,2.64653,1.07285,0.000544419,0.000544419,0.000544419
93,28742.6,1.02295,0.4998,0.93209,0.92798,0.58081,0.76623,0.42909,1.79673,2.73212,1.06259,0.000539523,0.000539523,0.000539523
94,29049.7,1.0125,0.49544,0.92538,0.93797,0.56471,0.76074,0.42815,1.80033,2.81842,1.06311,0.000534626,0.000534626,0.000534626
95,29357.5,1.01568,0.49762,0.93003,0.94505,0.55377,0.75734,0.42821,1.7938,2.91733,1.05886,0.00052973,0.00052973,0.00052973
96,29664.2,1.01087,0.49122,0.9297,0.95089,0.54862,0.75616,0.4289,1.79532,2.98271,1.05709,0.000524833,0.000524833,0.000524833
97,29970.7,0.98592,0.48287,0.91695,0.95238,0.54089,0.75273,0.42732,1.79263,3.07374,1.056,0.000519937,0.000519937,0.000519937
98,30277,0.99427,0.48717,0.92516,0.95497,0.53252,0.74924,0.42739,1.79329,3.15019,1.05298,0.00051504,0.00051504,0.00051504
99,30583.6,0.99228,0.4876,0.92269,0.95606,0.51835,0.74269,0.42699,1.77197,3.16805,1.04444,0.000510144,0.000510144,0.000510144
100,30890.1,0.98984,0.48617,0.9227,0.96224,0.50869,0.73941,0.42669,1.76912,3.22404,1.04229,0.000505247,0.000505247,0.000505247
101,31196.3,0.98871,0.47761,0.9238,0.96101,0.49195,0.73078,0.42401,1.75311,3.20712,1.03245,0.000500351,0.000500351,0.000500351
102,31502.9,0.98316,0.48382,0.9161,0.96494,0.47843,0.72532,0.42276,1.75079,3.25922,1.02992,0.000495454,0.000495454,0.000495454
103,31810,0.98564,0.48472,0.92257,0.96405,0.46619,0.71915,0.42205,1.732,3.24944,1.02007,0.000490558,0.000490558,0.000490558
104,32116.3,0.97445,0.47881,0.92106,0.96424,0.45138,0.71215,0.42141,1.70947,3.25609,1.01524,0.000485661,0.000485661,0.000485661
105,32423,0.97242,0.47885,0.92095,0.96888,0.44108,0.70852,0.42061,1.68803,3.28376,0.99693,0.000480765,0.000480765,0.000480765
106,32729.5,0.98511,0.48319,0.91984,0.9738,0.43078,0.70488,0.41957,1.69498,3.36582,0.99971,0.000475868,0.000475868,0.000475868
107,33036,0.97257,0.46653,0.91098,0.9763,0.42434,0.70249,0.41779,1.67238,3.36332,0.98593,0.000470972,0.000470972,0.000470972
108,33342.6,0.96842,0.47334,0.91829,0.97601,0.41919,0.69991,0.41662,1.66901,3.41121,0.98637,0.000466076,0.000466076,0.000466076
109,33649.3,0.95841,0.47452,0.91437,0.97689,0.40824,0.69482,0.41465,1.66429,3.45351,0.98709,0.000461179,0.000461179,0.000461179
110,33955.8,0.95366,0.46733,0.91255,0.97781,0.3973,0.68969,0.41252,1.66626,3.51232,0.98822,0.000456283,0.000456283,0.000456283
111,34262.3,0.95263,0.46551,0.91298,0.98039,0.38635,0.68517,0.41195,1.67218,3.56469,0.9927,0.000451386,0.000451386,0.000451386
112,34568.5,0.95785,0.47225,0.92119,0.97959,0.3709,0.67737,0.41008,1.67191,3.62013,0.98868,0.00044649,0.00044649,0.00044649
